edad_meses,sexo,raza,talla,ubicacion_procedencia,estado_vacunal,fiebre_hipertermia,signos_respiratorios_oculonasales,signos_digestivos,signos_neurologicos,signos_dermatologicos,diagnostico_cdv_confirmado
4.0,Macho,Border Collie,Mediano,Bogota - Zona Norte,Incompleto,1,0,0,1,1,1
84.0,Hembra,Mestizo,Mediano,Bogota - Zona Centro,Desconocido,1,1,0,1,0,1
5.0,Macho,Husky Siberiano,Grande,Chia (Sabana Norte),Incompleto,1,1,0,1,0,1
2.5,Macho,Golden Retriever,Grande,Bogota - Zona Norte,No vacunado,0,0,0,1,0,1
6.0,Hembra,Mestizo,Mediano,Chia (Sabana Norte),Desconocido,1,0,0,1,0,1
6.0,Hembra,Mestizo,Mediano,Bogota - Engativa,Desconocido,1,0,0,1,0,1
5.0,Macho,Mestizo,Mediano,Bogota - Bosa,Desconocido,1,0,0,1,0,1
156.0,Macho,Mestizo,Mediano,Bogota - Zona Sur,Desconocido,0,0,0,1,0,1
96.0,Hembra,Pinscher,Pequeño,Bogota - Zona Occidente,Desconocido,0,0,0,1,0,1
3.0,Macho,Mestizo,Pequeño,Chia (Sabana Norte),No vacunado,1,0,0,1,0,1
18.0,Macho,Labrador Retriever,Grande,Bogota - Zona Norte,Incompleto,0,0,0,1,0,1
36.0,Hembra,Mestizo,Mediano,Bogota - Zona Suroriente,Desconocido,1,0,0,1,0,1
4.0,Macho,Mestizo,Pequeño,Bogota - Bosa,No vacunado,1,0,0,1,1,1
5.0,Hembra,Pastor Aleman,Grande,Chia (Sabana Norte),Desconocido,1,1,0,1,0,1
3.5,Macho,Labrador Retriever,Grande,Bogota - Zona Norte,Incompleto,1,1,1,1,0,1
9.0,Macho,Pastor Aleman,Grande,Bogota - Zona Sur,Incompleto,0,0,0,1,0,1
6.0,Hembra,Mestizo,Mediano,Bogota - Zona Occidente,Desconocido,0,0,0,1,0,0
2.0,Macho,Akita,Grande,Bogota - Zona Norte,No vacunado,1,0,1,0,0,0
6.0,Hembra,Rottweiler,Grande,Chia (Sabana Norte),Incompleto,1,0,1,0,0,0
144.0,Macho,Mestizo,Mediano,Bogota - Zona Sur,Completo,0,0,1,0,0,0
132.0,Hembra,Shih-tzu,Pequeño,Bogota - Zona Norte,Completo,0,0,0,0,0,0
6.0,Macho,Bulldog Ingles,Mediano,Bogota - Zona Centro,Incompleto,1,1,0,0,0,0
72.0,Macho,Bulldog Ingles,Mediano,Bogota - Zona Occidente,Completo,0,1,0,0,0,0
12.0,Hembra,Mestizo,Mediano,Chia (Sabana Norte),Completo,0,0,0,0,0,0
24.0,Macho,Mestizo,Mediano,Bogota - Zona Norte,Completo,0,0,0,0,0,0
36.0,Hembra,Mestizo,Mediano,Bogota - Zona Sur,Completo,0,0,0,0,0,0
48.0,Macho,Mestizo,Mediano,Bogota - Engativa,Completo,0,0,0,0,0,0
1.0,Macho,Mestizo,Pequeño,Bogota - Zona Norte,No vacunado,1,1,1,1,0,1
2.0,Hembra,Mestizo,Pequeño,Bogota - Zona Centro,Incompleto,1,1,1,1,0,1
5.0,Hembra,Mestizo,Mediano,Bogota - Zona Occidente,Incompleto,1,1,0,0,0,1
3.0,Macho,Mestizo,Pequeño,Chiquinquira,Incompleto,1,1,0,0,0,1
14.0,Macho,Mestizo,Mediano,Bogota - Zona Suroriente,Incompleto,1,1,0,0,0,1
